ACURA;0;1 год;2 года;3 года;4 года;5 лет;6 лет;7 лет;8 лет
ACURA MDX;5,71%;6,65%;7,02%;7,39%;7,76%;8,13%;9,24%;9,61%;10,35%
ACURA RDX;5,71%;6,65%;7,02%;7,39%;7,76%;8,13%;9,24%;9,61%;10,35%
ACURA ZDX;6,86%;7,98%;8,43%;8,87%;9,31%;9,76%;11,09%;11,53%;12,42%
ALFA ROMEO;0;1 год;2 года;3 года;4 года;5 лет;6 лет;7 лет;8 лет
ALFA ROMEO 147;6,30%;7,33%;7,74%;8,15%;8,55%;8,96%;10,18%;10,59%;11,40%
ALFA ROMEO 159;6,29%;7,32%;7,73%;8,14%;8,54%;8,95%;10,17%;10,58%;11,39%
AUDI;0;1 год;2 года;3 года;4 года;5 лет;6 лет;7 лет;8 лет
AUDI A1;6,51%;7,58%;8,00%;8,42%;8,85%;9,27%;10,53%;10,95%;11,79%
AUDI A2;5,33%;6,20%;6,55%;6,89%;7,24%;7,58%;8,62%;8,96%;9,65%
AUDI A3;6,34%;7,39%;7,80%;8,21%;8,62%;9,03%;10,26%;10,67%;11,49%
AUDI A4;5,18%;6,04%;6,37%;6,71%;7,04%;7,38%;8,38%;8,72%;9,39%
AUDI A5;5,71%;6,65%;7,02%;7,39%;7,76%;8,13%;9,24%;9,61%;10,35%
AUDI A6;4,70%;5,48%;5,78%;6,09%;6,39%;6,69%;7,61%;7,91%;8,52%
AUDI A7;3,81%;4,43%;4,68%;4,93%;5,17%;5,42%;6,16%;6,40%;6,90%
AUDI Q5;4,67%;5,44%;5,74%;6,04%;6,35%;6,65%;7,56%;7,86%;8,46%
BMW;0;1 год;2 года;3 года;4 года;5 лет;6 лет;7 лет;8 лет
BMW 1-series;6,41%;7,46%;7,88%;8,29%;8,70%;9,12%;10,36%;10,78%;11,61%
BMW 3-series;5,91%;6,88%;7,27%;7,65%;8,03%;8,41%;9,56%;9,94%;10,71%
BMW X1;6,20%;7,22%;7,62%;8,02%;8,42%;8,82%;10,03%;10,43%;11,23%
BMW X3;4,74%;5,52%;5,83%;6,14%;6,44%;6,75%;7,67%;7,98%;8,59%
CADILLAC;0;1 год;2 года;3 года;4 года;5 лет;6 лет;7 лет;8 лет
CADILLAC BLS;6,27%;7,30%;7,71%;8,11%;8,52%;8,93%;10,14%;10,55%;11,36%
CADILLAC CTS;5,80%;6,75%;7,13%;7,50%;7,88%;8,25%;9,38%;9,75%;10,51%
CADILLAC ESCALADE;4,90%;5,71%;6,03%;6,34%;6,66%;6,98%;7,93%;8,25%;8,88%
CADILLAC SRX;5,58%;6,50%;6,86%;7,22%;7,59%;7,95%;9,03%;9,39%;10,11%
CADILLAC STS;5,53%;6,44%;6,79%;7,15%;7,51%;7,87%;8,94%;9,30%;10,01%
CHERY;0;1 год;2 года;3 года;4 года;5 лет;6 лет;7 лет;8 лет
CHERY A3;6,27%;7,30%;7,71%;8,11%;8,52%;8,93%;10,14%;10,55%;11,36%
CHERY AMULET;10,69%;12,44%;13,14%;13,83%;14,52%;15,21%;17,28%;17,98%;19,36%
CHERY CrossEastar;8,70%;10,13%;10,70%;11,26%;11,82%;12,39%;14,08%;14,64%;15,77%
CHERY FOR A;6,27%;7,30%;7,71%;8,11%;8,52%;8,93%;10,14%;10,55%;11,36%
CHERY SWEET;6,27%;7,30%;7,71%;8,11%;8,52%;8,93%;10,14%;10,55%;11,36%
CHERY TIGGO;7,93%;9,23%;9,74%;10,26%;10,77%;11,28%;12,82%;13,33%;14,36%
CHEVROLET;0;1 год;2 года;3 года;4 года;5 лет;6 лет;7 лет;8 лет
CHEVROLET AVEO;7,28%;8,48%;8,95%;9,42%;9,89%;10,36%;11,77%;12,24%;13,19%
CHEVROLET CAPTIVA;5,33%;6,20%;6,55%;6,89%;7,24%;7,58%;8,62%;8,96%;9,65%
CHEVROLET CRUZE;7,14%;8,31%;8,77%;9,23%;9,69%;10,16%;11,54%;12,00%;12,93%
CHEVROLET EPICA;7,07%;8,23%;8,69%;9,15%;9,61%;10,06%;11,44%;11,89%;12,81%
CHEVROLET LACETTI;7,69%;8,95%;9,45%;9,95%;10,44%;10,94%;12,43%;12,93%;13,92%
CHEVROLET LANOS;8,00%;9,32%;9,83%;10,35%;10,87%;11,39%;12,94%;13,46%;14,49%
CHEVROLET ORLANDO;5,33%;6,20%;6,55%;6,89%;7,24%;7,58%;8,62%;8,96%;9,65%
CHEVROLET REZZO;5,33%;6,20%;6,55%;6,89%;7,24%;7,58%;8,62%;8,96%;9,65%
CHEVROLET SPARK;8,38%;9,76%;10,30%;10,85%;11,39%;11,93%;13,56%;14,10%;15,19%
CHEVROLET TAHOE;4,80%;5,59%;5,90%;6,21%;6,52%;6,83%;7,76%;8,07%;8,69%
CHEVROLET TRAILBLAZER;5,57%;6,48%;6,84%;7,20%;7,56%;7,92%;9,00%;9,36%;10,09%
CHEVROLET VIVA;5,64%;6,57%;6,93%;7,30%;7,66%;8,03%;9,12%;9,49%;10,22%
CHRYSLER;0;1 год;2 года;3 года;4 года;5 лет;6 лет;7 лет;8 лет
CHRYSLER 300C;6,27%;7,30%;7,71%;8,11%;8,52%;8,93%;10,14%;10,55%;11,36%
CHRYSLER 300M;6,27%;7,30%;7,71%;8,11%;8,52%;8,93%;10,14%;10,55%;11,36%
CHRYSLER GRAND VOYAGER;5,33%;6,20%;6,55%;6,89%;7,24%;7,58%;8,62%;8,96%;9,65%
CHRYSLER PACIFIC;5,33%;6,20%;6,55%;6,89%;7,24%;7,58%;8,62%;8,96%;9,65%
CHRYSLER PT CRUISER;6,27%;7,30%;7,71%;8,11%;8,52%;8,93%;10,14%;10,55%;11,36%
CHRYSLER SEBRING;6,27%;7,30%;7,71%;8,11%;8,52%;8,93%;10,14%;10,55%;11,36%
CHRYSLER VOYAGER;5,33%;6,20%;6,55%;6,89%;7,24%;7,58%;8,62%;8,96%;9,65%
CITROEN;0;1 год;2 года;3 года;4 года;5 лет;6 лет;7 лет;8 лет
CITROEN BERLINGO;6,54%;7,62%;8,04%;8,47%;8,89%;9,31%;10,58%;11,01%;11,85%
CITROEN C1;9,30%;10,82%;11,43%;12,03%;12,63%;13,23%;15,03%;15,63%;16,84%
CITROEN C2;11,57%;13,47%;14,22%;14,97%;15,71%;16,46%;18,71%;19,46%;20,95%
CITROEN C3;7,61%;8,86%;9,35%;9,84%;10,33%;10,83%;12,30%;12,80%;13,78%
CITROEN C4;8,51%;9,91%;10,46%;11,01%;11,56%;12,11%;13,77%;14,32%;15,42%
CITROEN C4 Picasso;5,33%;6,20%;6,55%;6,89%;7,24%;7,58%;8,62%;8,96%;9,65%
CITROEN C5;6,20%;7,22%;7,62%;8,02%;8,42%;8,82%;10,03%;10,43%;11,23%
CITROEN C6;5,44%;6,33%;6,69%;7,04%;7,39%;7,74%;8,80%;9,15%;9,85%
CITROEN C8;6,27%;7,30%;7,71%;8,11%;8,52%;8,93%;10,14%;10,55%;11,36%
CITROEN C-Crosser;5,91%;6,88%;7,27%;7,65%;8,03%;8,41%;9,56%;9,94%;10,71%
CITROEN DS3;6,98%;8,13%;8,58%;9,04%;9,49%;9,94%;11,29%;11,75%;12,65%
CITROEN DS4;6,41%;7,46%;7,88%;8,29%;8,70%;9,12%;10,36%;10,78%;11,61%
CITROEN Grand C4 Picasso;5,33%;6,20%;6,55%;6,89%;7,24%;7,58%;8,62%;8,96%;9,65%
CITROEN XSARA;5,33%;6,20%;6,55%;6,89%;7,24%;7,58%;8,62%;8,96%;9,65%
DAEWOO;0;1 год;2 года;3 года;4 года;5 лет;6 лет;7 лет;8 лет
DAEWOO MATIZ;12,30%;14,32%;15,11%;15,91%;16,70%;17,50%;19,88%;20,68%;22,27%
DAEWOO NEXIA;9,10%;10,59%;11,18%;11,77%;12,36%;12,94%;14,71%;15,30%;16,48%
DODGE;0;1 год;2 года;3 года;4 года;5 лет;6 лет;7 лет;8 лет
DODGE CALIBER;6,12%;7,13%;7,52%;7,92%;8,31%;8,71%;9,90%;10,29%;11,08%
DODGE GRAND CARAVAN;5,33%;6,20%;6,55%;6,89%;7,24%;7,58%;8,62%;8,96%;9,65%
DODGE JOURNEY;5,33%;6,20%;6,55%;6,89%;7,24%;7,58%;8,62%;8,96%;9,65%
DODGE NITRO;5,64%;6,57%;6,93%;7,30%;7,66%;8,03%;9,12%;9,49%;10,22%
DODGE STRATUS;6,27%;7,30%;7,71%;8,11%;8,52%;8,93%;10,14%;10,55%;11,36%
DODGE RAM;5,64%;6,57%;6,93%;7,30%;7,66%;8,03%;9,12%;9,49%;10,22%
FIAT;0;1 год;2 года;3 года;4 года;5 лет;6 лет;7 лет;8 лет
FIAT ALBEA;8,88%;10,34%;10,91%;11,49%;12,06%;12,64%;14,36%;14,94%;16,08%
FIAT BRAVO;7,62%;8,87%;9,36%;9,85%;10,35%;10,84%;12,32%;12,81%;13,79%
FIAT DOBLO;7,38%;8,59%;9,07%;9,54%;10,02%;10,50%;11,93%;12,41%;13,36%
FIAT GRANDE PUNTO;9,21%;10,72%;11,32%;11,91%;12,51%;13,10%;14,89%;15,49%;16,68%
FIAT LINEA;6,56%;7,64%;8,06%;8,49%;8,91%;9,34%;10,61%;11,03%;11,88%
FIAT PANDA;8,71%;10,14%;10,71%;11,27%;11,83%;12,40%;14,09%;14,65%;15,78%
FORD;0;1 год;2 года;3 года;4 года;5 лет;6 лет;7 лет;8 лет
FORD C-MAX;6,19%;7,21%;7,61%;8,01%;8,41%;8,81%;10,01%;10,41%;11,22%
FORD EXCURSION;5,64%;6,57%;6,93%;7,30%;7,66%;8,03%;9,12%;9,49%;10,22%
FORD EXPEDITION;5,33%;6,20%;6,55%;6,89%;7,24%;7,58%;8,62%;8,96%;9,65%
FORD EXPLORER;5,64%;6,57%;6,93%;7,30%;7,66%;8,03%;9,12%;9,49%;10,22%
FORD ESCAPE;4,83%;5,63%;5,94%;6,25%;6,56%;6,88%;7,81%;8,13%;8,75%
FORD FIESTA;8,50%;9,89%;10,44%;10,99%;11,54%;12,09%;13,74%;14,29%;15,39%
FORD FOCUS;7,79%;9,07%;9,58%;10,08%;10,58%;11,09%;12,60%;13,11%;14,11%
